filename,path,sharpness_score
15.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\15.jpg,134.20136731567192
126.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\126.jpg,140.03855429520797
254.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\254.jpg,140.03855429520797
154.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\154.jpg,142.45604458645633
106.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\106.jpg,145.8482517977262
6.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\6.jpg,150.13294377795745
62.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\62.jpg,152.36906051936435
150.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\150.jpg,153.71984183966902
238.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\238.jpg,156.7480574058327
56.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\56.jpg,156.7496179717988
208.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\208.jpg,158.4223080361432
7.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\7.jpg,158.61047666111293
221.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\221.jpg,159.12679470885763
21.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\21.jpg,159.21468903185067
135.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\135.jpg,160.27794017704755
31.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\31.jpg,162.17012474356622
218c.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\218c.jpg,164.1913750613749
128a.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\128a.jpg,170.95164190684343
103.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\103.jpg,171.9888265477732
62.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\62.jpg,173.95887356959153
36.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\36.jpg,174.28982730581708
5.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\5.jpg,174.69428479157727
243b.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\243b.jpg,175.05636208798649
232.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\232.jpg,180.0195567887252
111.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\111.jpg,181.46795576044352
194.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\194.jpg,191.4634647088847
159a.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\159a.jpg,193.38847879480835
107.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\107.jpg,194.35435425884046
190a.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\190a.jpg,194.7532124222961
62.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\62.jpg,196.195554884988
113.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\113.jpg,196.9924438906352
192.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\192.jpg,196.99443039658112
80a.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\80a.jpg,201.51201490393746
167.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\167.jpg,202.50006089675455
67.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\67.jpg,204.9661609349357
