Class,Precision,Recall,F1_Score,Support,Precision_Percent,Recall_Percent,F1_Percent
Alluvial_Soil,0.9090909090909091,0.40816326530612246,0.5633802816901409,49,90.9090909090909,40.816326530612244,56.33802816901409
Arid_Soil,0.7710144927536232,0.953405017921147,0.8525641025641025,279,77.10144927536233,95.3405017921147,85.25641025641025
Black_Soil,0.9491525423728814,0.9572649572649573,0.9531914893617022,234,94.91525423728814,95.72649572649573,95.31914893617022
Laterite_Soil,0.9289940828402367,0.7336448598130841,0.8198433420365535,214,92.89940828402366,73.36448598130842,81.98433420365535
Mountain_Soil,0.9289617486338798,0.8900523560209425,0.9090909090909091,191,92.89617486338798,89.00523560209425,90.9090909090909
Red_Soil,0.8389830508474576,0.9252336448598131,0.88,107,83.89830508474576,92.5233644859813,88.0
Yellow_Soil,0.8333333333333334,0.8461538461538461,0.8396946564885496,65,83.33333333333334,84.61538461538461,83.96946564885496
