,count,mean,std,min,25%,50%,75%,max
n,2200.0,50.551818181818184,36.9173338337566,0.0,21.0,37.0,84.25,140.0
p,2200.0,53.36272727272727,32.98588273858715,5.0,28.0,51.0,68.0,145.0
k,2200.0,48.14909090909091,50.64793054666013,5.0,20.0,32.0,49.0,205.0
ph,2200.0,6.469480065256364,0.7739376880298733,3.504752314,5.9716927992499995,6.42504527,6.92364262125,9.93509073
soil_moisture,2200.0,20.151387783041407,5.793719825239101,10.02426042785048,15.179948893469685,20.08848116520079,25.255145821169577,29.997859652841264
organic_matter,2200.0,5.465652199586001,2.6052935281651872,1.003337922269687,3.2039030389629994,5.418048665288798,7.6864168696307305,9.99999015034425
